comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20240927091300-226433,AL20240927091300,Molt trist has d'estar,Fa 23 hores,,"No estic a favor de l'avortament però així i tot, llegint el teu comentari em causa vomitera amb l'odi que despre'ns. Has de ser una persona menyspreable.  Ves-te´n a la cova, allà estaràs tranquil",,6,75
AL20240927091300-226344,AL20240927091300,Carme,Fa 1 dia,,Bé que Andorra s'ha de fer càrrec d'un munt d'alturgellencs a nivell sanitari! i dubto molt que gaira gent acudeixi a la Seu per practicar un avortament.,,18,16
AL20240928112400-226529,AL20240928112400,Jordi,Fa 7 hores,,L' aire de l' Aldosa té aquestes coses...,,0,1
AL20240927213400-226518,AL20240927213400,Deuh,Fa 7 hores,,Marsol cap de govern,,2,17
AL20240927213400-226556,AL20240927213400,"Seria lo pitjor que lo podria pasar andorrà, aquesta sols vol veure sota al sol la seva elit, la resta se la BUFA",Fa 3 hores,,"Doncs millor que no per el bé de la gent treballadora i normal d'andorra, des de que trasteixa ella el servei d'ocupacio a deixat a molta gent grans sense feina, sense cass i sense cap futur,  I TOT AIXO SENSE CAP REMORDIMENT NI ESCRÚPOL, així que té la quedas tu si vols aquesta  com a persona deixa molt que desitjar, sol mira per ELLA i els 4 del club",,8,1
AL20240927213400-226531,AL20240927213400,Massanec,Fa 7 hores,,A la Massana abans de sortir ja perdut !!!! Xavier Coma jajajaj quin nivell,,0,5
AL20240927213400-226507,AL20240927213400,Javierin,Fa 9 hores,,DA preparant-se per canviar de nom per evitar judicis per les seves actuacions i per caçar algun ingrnu que no s'hagi assabentat. A Espanya es fa molt.,,8,2
AL20240927213400-226496,AL20240927213400,Xavier,Fa 10 hores,,"Jurassic Park 2.0 en estat pur ... el partit es podria dir PTE - Partit de les Trumfes i els Esclops .... i la pel.licula es podria titular ""Pesadilla a Casa de la Vall"", i com els agrada molt l'angles ""Nightmare at Valley's House"". Quin panorama politic que tenim, els dolents contra els pitjors ... el resultat estarà a l'alçada dels mèrits dels partits, entre dolents i pitjors. Marxo a posar espelmes a totes les capelles d'Andorra a veure si es produeix un miracle que ens protegeixi d'aquesta tribu de governants i aspirants penosos i lamentables.",,21,13
AL20240927213400-226557,AL20240927213400,JP,Fa 3 hores,,"No nen no, estàs equivocat. A Andorra tots els partits, menys un, han caigut en el populisme d’esquerres de generar notícies prógres. El que passa es que veus impotent que alló que t’han promés no arriba, ni arribarà mai…….",,2,2
AL20240927213400-226512,AL20240927213400,No way,Fa 7 hores,,"Ostia quin fart de riure, la as clavada amb aquest colla de primats",,7,4
AL20240927213400-226523,AL20240927213400,Xavier,Fa 7 hores,,Es el crit de desesperança dels Australupitecus Andorranensis quan es senten amenaçats,,7,4
AL20240927213400-226503,AL20240927213400,fart de tot,Fa 9 hores,,Excel.lent resúmen de la política del país. Enhorabona. I jo afegiría......un partit polític més de dretes.......perque tots ho son.,,11,2
AL20240927213400-226494,AL20240927213400,Sr Bisbeee,Fa 11 hores,,Són les sobres de DA.Que veuen que la mamella de la vaca ja no done.I ja busquen cadires amb altres sigles.Més del mateix ....,,23,9
AL20240927213400-226489,AL20240927213400,País en extinció,Fa 11 hores,,Algú hauria de fer un Vox al país. Guanyarien d carrer. Es necessari!,,39,16
AL20240927213400-226484,AL20240927213400,Javi,Fa 11 hores,,"Només us falta fitxa al cabanes,mare meva!!!! Quina colla...",,13,12
AL20240927213400-226501,AL20240927213400,..,Fa 9 hores,,"Doncs gent del pais... Més que altres que han obtingut passaport per ficar-se al llit amb, sense viure ni 10 anys al pais..",,11,2
AL20240927213400-226479,AL20240927213400,Joan,Fa 12 hores,,"Buf! Patriotes aficionats al Bar que no saben fer 'la o amb un canuto', ja veureu que algun de La Massana els ajudarà, tot sigui per seguir vivint d'expoliar als andorrans.",,23,16
AL20240927213400-226477,AL20240927213400,Sastre,Fa 12 hores,,"Endavant, cal algu amb seny al cap davant del pais...",,41,18
AL20240927213400-226475,AL20240927213400,Perico,Fa 12 hores,,"Ja esteu trigant. Tenim un hovern dd dretes k ens vol expropiar el nostre negoci despres d'habdr fwt inversions milionaries amb les seves exigencies, i amb nosaltres aue deixem al carrer els nostres treballadors. El govern comunista de DA te pdr objectiu arruinar a la classe mitja i no ha fet res x la treballadora. Necessitem un govern que respecti la ptopietat privada qud no expropii res i deixi dd tirar els diners dels nostres imposyos i els usi x fer pisos socials i fer la vida mes facil als que mes ho necessiten (que per aixo paguem tants imposyos nosaltres) pero sempre deixabtnos treballar i sense robarnos els nostres negocis. Voñem segui pagant impostos xk ningu ens prengui el.negoci i amb ells conyribuir a ajudar a qui correspongui i mo k els cremin en fontetes, viatjes i stands x vendres la ue etc etc. Menys circs, menys fonts i mes responsabilitat de politics, necessitem un partit de dretes urgentment xk estem desemparats la gent que tenim un negoci amb ho que hi ha",,18,10
AL20240927213400-226504,AL20240927213400,fart de tot,Fa 9 hores,,"Perdoni, no entenc on és comunista el partit que governa......sempre escombra per al seu costat.....sempre pensant en els pota negra del pais, aqui el comunisme no existeix, si fins i tot els s'hi dona una por terrible pensar que el sindicalisme és un dret.......per això la USDA és de paper mollat........per no parlar del SAT, Sindicat Andorrà de Treballadors, que sempre va ser perseguit. Ho dit amb coneixement de causa.",,4,3
AL20240927213400-226473,AL20240927213400,UN SHOCK MATINAL ES AIXÓ,Fa 12 hores,,"Doncs si tot això llegint els nom son els que tenen de fer rutlla el país i fer la reconversió canvi de model econòmic (JO MI CAGO) el mes intel·ligent del grup no deu tenir ni el graduat escolar  (se salva poder un parell, i si les butxaques molt plenes però aquet país ja no pot continuar així perquè fa falta gent amb molta intel·ligència per tot lo que econòmicament es obsolet, caduc amb necessitat de un canvi (a menys que pagueu un regiment d'assessors que faci la feina) que al final seria el poble qui pagaria com sempre, QUE TAL SI PASEU PRIMER PER L’UNIVERSITAT I US DIPLOMEU AMB ECONOMIQUES? Però el que donar la bona economia per el poble NO PER ELS VOSTRES CORTIJOS que aquets ja sabem que van de conya",,20,10
AL20240927213400-226490,AL20240927213400,"Andorra no te un problema de crisi mundial, andorra te un problema de país desfet i caducat sense cap ticket per falta de visió per pujar al  tren que ja va passar.",Fa 11 hores,,"Ni els de ara ni els de després, pobre andorrà esta tiritant!! per el poc nivell polític i de visió de país que hi ha, el que si va sobrat per lo petit que es el país es de un nivell de corrupció que fa por, es molt trist però res de lo vell i tampoc lo nou val un PITO, aquet país es va fer sol i la riquesa va caure del cel venent terrenys i el contorbant  perquè si fos per la intel·ligència i formació dels que han portat al país estaríem per sota de BURKINAFASO, el país ja no pot continuar fen com  a mitjans del segle 20 perquè el mon ja es un altre, el comerç esta completament acabat, no hi ha res de tecnologia, no es crea cap empresa amb cara i ulls sols putifans i orterades així, no hi ha futur per els joves perquè sols tenim 3 bancs que van amb un sol peu i una administració que ja no pot absorbí mes funcionari perquè ja son mes grans els gestos que els beneficis,  no es crea ni un sol lloc de treball fixe ( tot es temporal i molt mal pagat) i per acabar de posar la cirereta al pastis  han emplenat el país de desnonats sense cap formació de res però que acabaran tots i molt ja i son vivint de afers socials mentre la gent d'aquí  es completament ignorada. 12 ANYS DE DESTRUCCIÓ CANIBAL AMB AL TOTXO DEL PAIS I NI UNA EMPRESA DE RENOM TECNOLOGIA",,11,3
AL20240927213400-226481,AL20240927213400,Perico,Fa 12 hores,,"Gent intel.ligent com.els k hi ha ara? Que han destruit el pais, ara volen destfuir la propietat privada i negocis dels que viuen andorrans? Quants fiplomes calen x carregarse tot? La mdva avia que no sabia llegir portava millor els comptes que el govern que hi ha i mai hautia fet fontetes i crenat rls calers en festes",,19,5
AL20240927213400-226469,AL20240927213400,"CLARA PINTAT, BRAVO!!! TOTS SOU IGUAL",Fa 12 hores,,"On es la moral l’aquest partit? I encara no han començat, visca el FEUDALISME RANCI",,26,7
AL20240927213400-226464,AL20240927213400,UNA MICA MES DEL MATEIX I JA COMENCEN FENT PUDOR,Fa 13 hores,,"Doncs començant amb molt mal peu i sen una mica mes de lo mateix,  la CLARA PINTA que esta per DA intentant ser part de un altre partit nou, mare meva quina xusma, aquet país no canviarà mai",,36,37
AL20240927213400-226462,AL20240927213400,"Bravo, ja va sent hora",Fa 13 hores,,"Cal un moviment de dretes seriós que superi el partit liberal que a hores d'ara resta més que suma, com  ho fan noms com el de Clara Pintat que ja s'ha empassat l'acord d'associació a canvi d'una cadira.",,27,27
AL20240927213400-226461,AL20240927213400,Von Mises,Fa 13 hores,,Ens aniria millor un partit libertarià. Ni dretes ni esquerres.,,1,13
AL20240927213400-226455,AL20240927213400,Enric,Fa 13 hores,,Ja esteu tardant en entregar els estatuts. No badeu! Molta gent us apoyarà. Sou gent seria i realment preocupada pel futur del país.,,18,14
AL20240927213400-226451,AL20240927213400,Clarita,Fa 13 hores,,Clarita no ha ido que le han dado hace poco el puesto de embajadora en Suiza y todavía se está comiendo el queso y el chocolate.,,21,23
AL20240927213400-226449,AL20240927213400,C.,Fa 13 hores,,"Molt fàcil intentar governar des de la vostra dreta conservadora amb les butxaques plenes. Però que fareu quan no quedi classe baixa i mitja al país ? Els hi vendreu vosaltres els ducados, el ricard, els mòbils als turistes ? Els hi servireu el menjar vosaltres als restaurants ? És ben penós on hem arribat, però ara mateix faria falta un govern socialista. Aprofiteu vos del poble mentres podeu, que amb la que caurà amb la EU i la competència competitiva que entrarà aquí, haureu de fer un pensament forçat.",,17,14
AL20240927213400-226448,AL20240927213400,Ex-votant de DA,Fa 13 hores,,"Sóc de dretes i ja no em sento identificada amb DA. Penso que han traït al seu electorat amb la llei òmnibus. També penso que hi ha massa ajudes i massa persones que tenen una cobertura del 100% sense   haver contribuït a la CASS. Crec que estem perdent sobirania i cada dia ens assemblem més als veïns, sobretot a nivell de burocràcia i càrregues fiscals. Crec que la nostra supervivéncia depèn del naixement d’un nou partit de dretes. Cal deixar personalismes a banda, doncs vivim en una època apàtica on el nivell de resilència és molt baix. La societat es queixa i protesta durant uns dies, però acaba acceptant grans barbaritats com la vulneració de la propietat privada.",,33,9
AL20240927213400-226502,AL20240927213400,Talaia,Fa 9 hores,,"Una nova pandilla de ""bandits"" que volen desplomar el país veien que DA els enfonsa i volen perpetuar la riquesa que acumulen saquejant les butxaques de les famílies i treballadors del país sense fotre ni brot. País subtilment corrupte on és difícilment posible de destapar les manigances que foten ja que és col·loquen els uns i altres als llocs precisos per impedir el descobriment de tot l'entramat  de les famílies, empresaris i altres que controlen la canalització de la redistribució de la riquesa del país tot convertint-lo en un ""cortijo"" on s'hi fa i desfà al seu gust.",,7,0
AL20240927213400-226446,AL20240927213400,Prou,Fa 13 hores,,Sembla molt bé,,14,8
AL20240927213400-226439,AL20240927213400,Pere,Fa 22 hores,,"DA ja pot fer les maletes. I si estimessin Andorra, plegarien demà.  Un partit condennat a la desaparició. Només falta saber quan volen fer durar l'agonia.",,27,1
AL20240927213400-226435,AL20240927213400,Lluís,Fa 23 hores,,"vergonya, vergonya, xavier espot, as deixat mitja andorra amb pròlogues de lloguer i sol·licitant una ajuda social per a un pis social, vés-te'n per favor, dimiteix i convoca eleccions.",,31,6
AL20240927213400-226434,AL20240927213400,Jesús Torrent,Fa 23 hores,,Completament d’acord amb les seves aspiracions pel bon esdevenir del país. La deriva europeista és perniciosa per la gent i interessada per uns pocs.,,42,4
AL20240927183300-226491,AL20240927183300,Marcus,Fa 11 hores,,Nacionalitat???,,1,1
AL20240927183300-226558,AL20240927183300,Joan,Fa 3 hores,,"Tranquil, ha sigut a la Seu, no hauràs de dir que l'expulsin si no és andorrà, colla de fatxes...",,1,0
AL20240927130100-226488,AL20240927130100,Encampadà,Fa 11 hores,,"“No va suposar un perill real” amb un ganivet de pam i mig, borratxo i drogat….Càstig exemplar sense reduccions.  I sinó que hagués anat a Barcelona a fer-ho que allà encara seria lliure demanant “segarros.”",,6,0
AL20240927130100-226374,AL20240927130100,Calla la boca,Fa 1 dia,,Cada vegada que parla aquest personatge tindria que emportarse 10 anys mes de comella. A callar la boca maco. No haguesis fet res. Ara a plorar solet i a les fosques. Ben a les fosques.,,21,0
AL20240927130100-226359,AL20240927130100,andorrà,Fa 1 dia,,"Cap tracte de favor ni rebaixes, a ser durs amb aquesta gent o altres sabran que aqui es fàcil atracar i acollonit a la gent. Percert un peça el nano eeee....",,25,0
AL20240927101900-226476,AL20240927101900,...,Fa 12 hores,,No se si ho va fer bé o malament. Lo que si se que ara aixo es un monopoli consumit i encobert.,,11,1
AL20240927101900-226456,AL20240927101900,Delacasa,Fa 13 hores,,"El millor gestor que ha tingut EMAP. Si no hagués estat per la COVID, otro gallo hagués cantat. ENSISA només ha aportat a pal  taurons, maleducats, dèspotes, missògens, trepaires i mentiders. La gent jove, la gent que s’estima i s’estimava la estació és la que la farà tirar endavant, i no un fill del crèdit, un ceo oportunista o el capo del trepes amb ulleres. Feu el favor de recular, de buscar inversors estrangers que es deixin guiar pels que si coneixem la neu, la muntanya i la estació. Activeu el puto plan B!  I les senyores consols que s’han venut la estació per 4 perres, siusplau, govern, una paral·lela : aquí hi ha gat amagat!",,18,13
AL20240927101900-226535,AL20240927101900,Èlia Pintat R,Fa 5 hores,,"Vostè parla d'ENSISA i d'altres entitats, i persones, sense cap mena de respecte, la qual cosa ja demostra el seu grau d'intel·lecte. Menciona al seu comentari que inversors de fora haurien de venir i deixar-se guiar, realment vostè pensa que gent de fora de casa ho farà millor que els de dins? Patètic. Si tant coneix la muntanya i la neu com vostè al·lega, presentis vostè a director i doncs podrà jutjar d'on ve el problema. PD: Quan trobi el gat amagat, avisi'm! Bona tarda, Èlia Pintat R.",,1,1
