index,article_id,comment_id,article_link,topic,article_type,article_title,comment_content
10,DI20240921113200,DI20240921113200-16347597,https://www.diariandorra.ad/nacional/240921/strzoda-defensa-l-acord-d-associacio-i-alerta-dels-riscos-rebutjar_158527.html,UE,article,Strzoda defensa l’acord d’associació i alerta dels riscos de rebutjar-lo,Europa NO gràcies
11,DI20240908104400,DI20240908104400-15985236,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,UE,article,"Ensenyat demana un debat més ""racional"" per l'acord d'associació",Quin taladro amb el tema del acord....
12,DI20240905060100,DI20240905060100-15939775,https://www.diariandorra.ad/nacional/240905/reunio-in-extremis-per-evitar-els-controls-fronterers-ue_157537.html,UE,article,Reunió ‘in extremis’ per evitar els controls fronterers de la UE,ja veig tots els andorrans recuperant la nacionalitat espanyola...
13,DI20240908104400,DI20240908104400-15991047,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,UE,article,"Ensenyat demana un debat més ""racional"" per l'acord d'associació","Ensenyat, posat les piles i defensa al poble andorra. Aquesta gebtuza ens vol robar rls pisos que hem comprat amb l'esforç de molts anys i fer que no poguem guanyarnos la voda donant servei a turistes amb uns pisos que ens han costat molts diners i que ells ens han fet reformarlos i invertiehi moltissims diners, molts mes dels necessaris. Algu hauria de defensarnos a nosaltres i ningu de vosaltres ho feu. Aixo os passara factura"
14,DI20240917054300,DI20240917054300-16072784,https://www.diariandorra.ad/nacional/240917/espot-seguira-passi-passi-amb-l-acord-d-associacio-amb-ue_158256.html,UE,article,Espot seguirà “passi el que passi” amb l’acord d’associació amb la UE,El seu mestre Maduro li ha donat uns consells de democràcia.
15,DI20240916054900,DI20240916054900-16063264,https://www.diariandorra.ad/parroquies/240916/abans-hi-havia-confusio-molt-gran-sobre-les-activitats-naturland_158188.html,UE,article,“Abans hi havia una confusió molt gran sobre les activitats de Naturland”,Aquí els socis privats poden donar el capital de llurs accions com perdut. L’únic que segueix cobrant es l’Ajona amb pèrdues cada any. Es una vergonya. 
16,DI20240905060100,DI20240905060100-15940106,https://www.diariandorra.ad/nacional/240905/reunio-in-extremis-per-evitar-els-controls-fronterers-ue_157537.html,UE,article,Reunió ‘in extremis’ per evitar els controls fronterers de la UE,"I els milions de treballadors fronterers amb la UE que viuen, per exemple, a Suissa i cada dia van a treballar a França, Italia, Austria, ... faran cues quilomètriques per entrar i sortir ? "
17,DI20240914061600,DI20240914061600-16044109,https://www.diariandorra.ad/nacional/240914/andorra-i-ue-avancen-l-acord-per-control-les-fronteres_158095.html,UE,article,Andorra i la UE avancen en l’acord per al control de les fronteres,No a la arruïnada UE  
18,DI20240909053700,DI20240909053700-16005354,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,UE,article,Espot reconeix “incògnites” amb la UE,"prometer prometer prometer hasta meter, y una vez metido, no cumplir nada de lo prometido"
19,DI20240908104400,DI20240908104400-15985159,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,UE,article,"Ensenyat demana un debat més ""racional"" per l'acord d'associació",L’Accord no nomès no arreglara els problemes actuals sino ens complicara encara més la vida i el cost sera del tot inasumible. 
20,DI20240909053700,DI20240909053700-16000284,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,UE,article,Espot reconeix “incògnites” amb la UE,"Heu escoltat l'últim informe del ex-president del banc central europeu, Mario Draghi? No té desperdici. En resum ha dit que la UE es prepari per a pujades salvatges d'impostos, impressió de moneda a dojo si vol competir al món. Traduït pels ciutadans de la UE: sereu pobres com rates. "
21,DI20240928055300,DI20240928055300-19107198,https://www.diariandorra.ad/nacional/240928/espot-defensa-l-onu-res-justifica-l-atac-civils_158930.html,UE,article,Espot defensa a l’ONU que “res no justifica l’atac a civils”,Buuuuuuu fora
22,DI20240912055900,DI20240912055900-16024972,https://www.diariandorra.ad/parroquies/240912/l-executiva-da-vol-copsar-les-inquietuds-dels-militants_157947.html,UE,article,L’executiva de DA vol copsar les inquietuds dels militants,"@DavidAstrié veient la foto de la notícia, cada cop tinc mé clar que has de sortir d'aquest cercle. DA és un grup d'amics/interessats que només miren per ells/es; tens capacitat per més que això, no facis de Capità de vaixell i salta ja, no cal que esperis a que tot se'n vaig al fons del mar... SALTA i VOLA! Només has de mirar les cares dels assistents a la reunió i treure conclusions."
23,AL20240920205600,AL20240920205600-225446,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,Quedar fora de la construcció d’Europa?
24,DI20240914061600,DI20240914061600-16046773,https://www.diariandorra.ad/nacional/240914/andorra-i-ue-avancen-l-acord-per-control-les-fronteres_158095.html,UE,article,Andorra i la UE avancen en l’acord per al control de les fronteres,"Si estalla una guerra entre Rusia-China y OTAN, mejor no estar dentro de la UE porque vamos a pagar lo que no está escrito. Será lanruona de Andorra. "
25,DI20240929055500,DI20240929055500-19117579,https://www.diariandorra.ad/nacional/240929/els-andorrans-hauran-pagar-per-entrar-regne-unit-l-any-vinent_158991.html,UE,article,Els andorrans hauran de pagar per entrar al Regne Unit l’any vinent,Proposo una taxa de 12 euros només per a ciutadans UK que vulguin entrar a Andorra.
26,DI20240909053700,DI20240909053700-15995378,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,UE,article,Espot reconeix “incògnites” amb la UE,Formar part d’una associació com l’UE en tant micro-estat es un suicidi estatal. La representació es minima i per tant perdriem tota facultat per prendre decisions. Per aquesta raó Monaco i Suïssa es varen retirar de les negociacions.
27,DI20240912055900,DI20240912055900-16024922,https://www.diariandorra.ad/parroquies/240912/l-executiva-da-vol-copsar-les-inquietuds-dels-militants_157947.html,UE,article,L’executiva de DA vol copsar les inquietuds dels militants,jaaa jaaa
28,AL20240925104400,AL20240925104400-226004,https://www.altaveu.com/actualitat/politica/mes-174000-euros-cub-pantalles-led-resoldre-dubtes-acord-associacio_60571_102.html,UE,article,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,Gasto el que representara l associacio  3 milions euros anuals fixos per mantindre rasca panxes inutils.. no UE    NO ...
29,DI20240923060900,DI20240923060900-16364891,https://www.diariandorra.ad/nacional/240923/les-exportacions-als-mercats-americans-i-asiatics-disparen_158625.html,UE,article,Les exportacions als mercats americans i asiàtics es disparen,Quina pudor... !!!
30,DI20240925113100,DI20240925113100-16395595,https://www.diariandorra.ad/nacional/240925/andorra-i-montenegro-signen-conveni-doble-imposicio_158776.html,UE,article,Andorra i Montenegro signen un conveni de no doble imposició,"Que bé, ja no cal treballar més."
31,AL20240926204600,AL20240926204600-226325,https://www.altaveu.com/actualitat/afers-exteriors/espot-confia-en-suport-espanya-portugal-evitar-acord-associacio-es-declari-mixt_60630_102.html,UE,article,Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt,Dona igual el vestit que es posi  tant si es de 100€ com de 1000 € NO TE NI PERXA NI PORTE no es pot tenir tot aquesta vida  i de pas si vol començar a reserva ESTAMBUL  hora per fer un empelt capil·lar dons retardarem una mica la calba que ja es veu per tot arreu
32,DI20240908104400,DI20240908104400-15986170,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,UE,article,"Ensenyat demana un debat més ""racional"" per l'acord d'associació","Venga va!, ens heu fotut a moltes famílies la vida en l'aire, i ara ens veniu amb rotllos i històries vostres."
33,DI20240909053700,DI20240909053700-15995342,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,UE,article,Espot reconeix “incògnites” amb la UE,Lo que cal ara mateix es un referendum per determinar que el poble ja no vol d’aquest Govern. 
34,DI20240917054300,DI20240917054300-16307941,https://www.diariandorra.ad/nacional/240917/espot-seguira-passi-passi-amb-l-acord-d-associacio-amb-ue_158256.html,UE,article,Espot seguirà “passi el que passi” amb l’acord d’associació amb la UE,"Espero que surti el SI per nosaltres els joves, no podem estar tota la vida desconectats del món exterior."
35,AL20240920205600,AL20240920205600-225427,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,Molt 'Andorra we love you' peeò la carretera del Pas no l'arregleu ni per mal de morir.  AdiEU
36,AL20240925104400,AL20240925104400-226042,https://www.altaveu.com/actualitat/politica/mes-174000-euros-cub-pantalles-led-resoldre-dubtes-acord-associacio_60571_102.html,UE,article,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"Si, segurament el de les pantalles :-). A saber perqué."
37,DI20240908104400,DI20240908104400-15985522,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,UE,article,"Ensenyat demana un debat més ""racional"" per l'acord d'associació",Volen que vingui la UE a rescatar casa seva a canvi de la poca sobirania que ens queda
38,DI20240921113200,DI20240921113200-16344510,https://www.diariandorra.ad/nacional/240921/strzoda-defensa-l-acord-d-associacio-i-alerta-dels-riscos-rebutjar_158527.html,UE,article,Strzoda defensa l’acord d’associació i alerta dels riscos de rebutjar-lo,Va dir que hi haurien consequencies en cas d'un NO. 
39,DI20240921113200,DI20240921113200-16344728,https://www.diariandorra.ad/nacional/240921/strzoda-defensa-l-acord-d-associacio-i-alerta-dels-riscos-rebutjar_158527.html,UE,article,Strzoda defensa l’acord d’associació i alerta dels riscos de rebutjar-lo,"Un altre intent d'embaucar la població indecisa, propaganda de l'Estat gal, només cal veure com es desintegra França per entendre que ens hem de reflectir al Regne o Unit, no a països vassalls de l'OTAN com França."
40,DI20240905100000,DI20240905100000-15942020,https://www.diariandorra.ad/nacional/240905/mes-d-agost-tancat-amb-86-22-d-ocupacio-hotelera_157564.html,UE,article,"El mes d'agost ha tancat amb un 86,22% d'ocupació hotelera","Aixo es mentira, ho sabem els que twnim negocis vinculats al turisme"
41,AL20240920205600,AL20240920205600-225528,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"Andorra amb les seves particularitats ha arribat on és per la seva personalitat , propia i única, sols sense ningú, no deixem de perdre la nostra identitat, fem acords de col.laboració, portem les coses al nostre terreny, no ens venguem a Europa,haurem de fer els que ens impossin i manem nosaltres, reflexioneu!!!!"
42,DI20240914061600,DI20240914061600-16043635,https://www.diariandorra.ad/nacional/240914/andorra-i-ue-avancen-l-acord-per-control-les-fronteres_158095.html,UE,article,Andorra i la UE avancen en l’acord per al control de les fronteres,"Em costa molt de creure que aquest senyor veterinari, tan aviat fa de músic com decideixi el futur de la nostra nació."
43,DI20240920054500,DI20240920054500-16334200,https://www.diariandorra.ad/esports/240920/1-45-milions-per-santa-coloma_158453.html,UE,article,"1,45 milions per al Santa Coloma","I després, des de la FAF encara tindran la poca-vergonya de demanar diners a ministeri . . . Quin sentit té una lliga andorrana si el 99% dels jugadors són extrangers? Ningú veu que lo únic que ens aporta és inflació de preus amb una immigració que no aporta res? (joves, alt poder adquisitiu, baix nivell educatiu, inflació de preus . . .)"
44,DI20240909053700,DI20240909053700-15994354,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,UE,article,Espot reconeix “incògnites” amb la UE,El problema d’Andorra no és l’acord d’associació.
45,DI20240928055300,DI20240928055300-18259821,https://www.diariandorra.ad/nacional/240928/espot-defensa-l-onu-res-justifica-l-atac-civils_158930.html,UE,article,Espot defensa a l’ONU que “res no justifica l’atac a civils”,Un any heu trigat a fer aquestes declaracions. Un altre cop tard.
46,AL20240920205600,AL20240920205600-225374,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,Justamenr aixo volem. Estar fora del projecte. Preocupis de la seva europa que andofra no vol associarse a vostes
47,AL20240905104400,AL20240905104400-223115,https://www.altaveu.com/actualitat/afers-exteriors/pas-endavant-conveni-consell-europa-sobre-intelligencia-artificial-ja-signat-andorra_60098_102.html,UE,article,Pas endavant del conveni del Consell d’Europa sobre Intel·ligència Artificial ja signat per Andorra,Però si mes enllà del certificat artificial que ja es tota una aventura dins de la jungla no teniu idea de res mes amb IA i aneu a signar lo que no sabeu ni com funciona
48,AL20240920205600,AL20240920205600-225399,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"Amb la deriva que porta la UE de descontrol migratori, de càrrega fiscal insuportable per a mantenir pensions a tantíssims que no aporten res... etc. No és cap atractiu. És evident. Preservem les nostres fronteres."
49,DI20240908104400,DI20240908104400-15987458,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,UE,article,"Ensenyat demana un debat més ""racional"" per l'acord d'associació",Govern de nens rics.
50,BO20240925134222,BO20240925134222-1,https://www.bondia.ad/societat/afers-socials-atorga-1-330-noves-prestacions-el-primer-trimestre-del-2024,pensions,article,Afers Socials atorga 1.330 noves prestacions el primer trimestre del 2024,"Amb mentalitats com la teva anem apanyats, no és tot per la gent de fora sinó per la gent d'aquí (molta gent que cobra pensions miserables de 400€) que no poden ni pagar un lloguer (ja no et parlo del menjar). No tots són tan afortunats com els youtubers o influencers o els funcionaris."
51,DI20240925055900,DI20240925055900-16390088,https://www.diariandorra.ad/nacional/240925/concordia-vol-limitar-els-permisos-d-acces-pais-atorga-govern_158746.html,pensions,article,Concòrdia vol limitar els permisos d’accés al país que atorga el Govern,Molte bé Concòrdia! Clar i català: toca limitar el creixement de població insuportable pel nostre país.
52,DI20240912061000,DI20240912061000-16030868,https://www.diariandorra.ad/nacional/240912/policia-investiga-altres-pisos-on-hi-prostitucio_157951.html,pensions,article,La policia investiga altres pisos on hi ha prostitució,Prostitución y aborto... queremos acceso pero en España. Andorra = el país donde el sitio de internet más usado (después de Google) es porn***. 
53,DI20240926055300,DI20240926055300-16855066,https://www.diariandorra.ad/nacional/240926/les-ajudes-ocasionals-mengen-resta-subvencions-d-afers-socials_158812.html,pensions,article,Les ajudes ocasionals es mengen la resta de subvencions d’Afers Socials,"Pues és molt fàcil, si hi ha diners per a l’obra pública, sous dels funcionaris, càrrecs de tot tipus, els 8 Comús i la legió de refugiats de guerra i desplaçats diversos, té que haver per pagar els gastos d’Afers Socials."
54,DI20240916055100,DI20240916055100-16062695,https://www.diariandorra.ad/nacional/240916/els-mestres-reclamen-millores-laborals-per-dignificar-professio_158189.html,pensions,article,Els mestres reclamen millores laborals per dignificar la professió,Jo també vull dignificar la meva professió  pujeu-me el sou !!!
55,AL20240925164000,AL20240925164000-226080,https://www.altaveu.com/actualitat/sanitat/cass-tanca-primer-semestre-deficit-sanitari-157-milions-euros_60584_102.html,pensions,article,"La CASS tanca el primer semestre amb un dèficit sanitari de 15,7 milions d’euros",Tal qual.
56,DI20240917053600,DI20240917053600-16072268,https://www.diariandorra.ad/nacional/240917/centre-salut-mental-mantindra-tot-i-rebuig_158252.html,pensions,article,El centre de salut mental es mantindrà tot i el rebuig,Con un par! Fotrem el localet on vulgem i ens en fotem dels propietaris dels habitatges.
57,DI20240906055500,DI20240906055500-15949885,https://www.diariandorra.ad/nacional/240906/l-institut-ramon-cugat-demanar-instal-lacions-franc_157600.html,pensions,article,L’Institut Ramon Cugat va demanar instal·lacions de franc,El que heu de fer em comotes dimportar sucursals mediques es fitxar gent de renom i crear un centre de prestigi propi
58,DI20240923061000,DI20240923061000-16364894,https://www.diariandorra.ad/nacional/240923/deute-principat-14-589-euros-per-ciutada_158626.html,pensions,article,El deute del Principat és de 14.589 euros per ciutadà,"Qui controla el deute, ho controla tot!"
59,DI20240912061000,DI20240912061000-16030470,https://www.diariandorra.ad/nacional/240912/policia-investiga-altres-pisos-on-hi-prostitucio_157951.html,pensions,article,La policia investiga altres pisos on hi ha prostitució,Pagaràs tu.
60,BO20240902163204,BO20240902163204-0,https://www.bondia.ad/politica/el-ps-denuncia-l-incompliment-dels-terminis-previstos-per-l-estatut-de-l-artista,pensions,article,El PS denuncia l'incompliment dels terminis previstos per l'Estatut de l'Artista,"Com sempre malament, una llei que no contempla la realitat dels artistes. Res a veure amb l'intermitència a França on almenys saben fer les lleis com cal. Vela, plega si us plau  o deixa de tocar els nassos."
61,DI20240912061000,DI20240912061000-16024996,https://www.diariandorra.ad/nacional/240912/policia-investiga-altres-pisos-on-hi-prostitucio_157951.html,pensions,article,La policia investiga altres pisos on hi ha prostitució,"Els fateu twnir que conduir fins la seu? No home no, que aquests problemes no tenen arreglo, l'unic que es pot fer es regular i protegir a les persones que fan aixo"
62,DI20240925055900,DI20240925055900-16391421,https://www.diariandorra.ad/nacional/240925/concordia-vol-limitar-els-permisos-d-acces-pais-atorga-govern_158746.html,pensions,article,Concòrdia vol limitar els permisos d’accés al país que atorga el Govern,No saben on van. Demagògia pura
63,DI20240917053600,DI20240917053600-16072509,https://www.diariandorra.ad/nacional/240917/centre-salut-mental-mantindra-tot-i-rebuig_158252.html,pensions,article,El centre de salut mental es mantindrà tot i el rebuig,En el fons el que fa el ministeri i el SAAS es no tenir en compte els malalts de salut mental. Si ho tingués en compte els hi donaria privacitat i no els posaria envoltats de veïns….
64,AL20240925164000,AL20240925164000-226135,https://www.altaveu.com/actualitat/sanitat/cass-tanca-primer-semestre-deficit-sanitari-157-milions-euros_60584_102.html,pensions,article,"La CASS tanca el primer semestre amb un dèficit sanitari de 15,7 milions d’euros",I de pas si volen que i deixin els seus super gestors allà dins que així farem neteja
65,DI20240919061400,DI20240919061400-16322410,https://www.diariandorra.ad/nacional/240919/quart-intent-per-trobar-jutge-per-tedh_158412.html,pensions,article,Quart intent per trobar jutge per al TEDH,Ni els propis advocats hi creuen.
66,DI20240917053600,DI20240917053600-16075442,https://www.diariandorra.ad/nacional/240917/centre-salut-mental-mantindra-tot-i-rebuig_158252.html,pensions,article,El centre de salut mental es mantindrà tot i el rebuig,"Sra ministra i resta de ministres (perque actuen de manera col.legiada). Assumiran responsabilitats personals si les ""idees preconcebudes"" es converteixen en fets tipificats penalment i danys físics cap a un sol usuari de l'edifici, sigui resident, visitant o pacient? Gràcies."
67,DI20240913060100,DI20240913060100-16034825,https://www.diariandorra.ad/nacional/240913/llista-d-espera-per-ingressar-residencia-queda-zero_158015.html,pensions,article,La llista d’espera per ingressar en una residència queda a zero,"Quina hipocresia, he patit durant dos anys una malaltia greu i tot ha sigut un infern, assistents socials, Govern, Ministeri de Benestar Social, etc. Fart de fer recursos a Govern perquè deien ""no hi ha recursos""."
68,AL20240925164000,AL20240925164000-226094,https://www.altaveu.com/actualitat/sanitat/cass-tanca-primer-semestre-deficit-sanitari-157-milions-euros_60584_102.html,pensions,article,"La CASS tanca el primer semestre amb un dèficit sanitari de 15,7 milions d’euros",Pues resulta que ara la Cass ens reclama factures del any 2019. Sou uns poques vergonyes fa anys que esteu robant al poble i després repartiu els 100% com fi fossin caramels. Les coses oficials no prescriuen al cap de cinc anys? No teniu vergonya.  I Govern i la justícia que fan?? Res de res
69,DI20240917053600,DI20240917053600-16073841,https://www.diariandorra.ad/nacional/240917/centre-salut-mental-mantindra-tot-i-rebuig_158252.html,pensions,article,El centre de salut mental es mantindrà tot i el rebuig,De debò que ens estranya? La salut mental s'està portant potes amunt i tots ho sabem.
70,BO20240925134222,BO20240925134222-0,https://www.bondia.ad/societat/afers-socials-atorga-1-330-noves-prestacions-el-primer-trimestre-del-2024,pensions,article,Afers Socials atorga 1.330 noves prestacions el primer trimestre del 2024,"Tanqueu la porta de una P... vegada i deixeu de emplenar el país de misèria i desnonats.  Doncs no empleneu el país de tants DESNONATS i veureu com no en tindreu de donar tantes, mes valdria que ajudéssiu mes a la gent del país i no aquets que porten dos dies aquí, molt ineptes i impresentable tot plegat"
71,DI20240916055100,DI20240916055100-16062765,https://www.diariandorra.ad/nacional/240916/els-mestres-reclamen-millores-laborals-per-dignificar-professio_158189.html,pensions,article,Els mestres reclamen millores laborals per dignificar la professió,"Aquests cada any ploren, enreden a la gente perque els hi donin suport i després ells no donen a ningú, tant sols volen llocs de polítics."
72,DI20240916055100,DI20240916055100-16063678,https://www.diariandorra.ad/nacional/240916/els-mestres-reclamen-millores-laborals-per-dignificar-professio_158189.html,pensions,article,Els mestres reclamen millores laborals per dignificar la professió,"Paso de pagar mas impuestos para que a mi hijo le coman la cabeza desde los 4 añitos con temas de sexualidad y supuesta igualdad de genero. Eso es confundir desde la mas tierna edad, cuando el cerebro no besta formado. Es repugnante y miserable. Si la escuela publica sigue adoctrinando segun el gobierno de turno, mejor que desaparezca a favor de la escuela privatizada, y que cada familia se pague la educación que quiere oara sus hijos. "
73,DI20240906055500,DI20240906055500-15951363,https://www.diariandorra.ad/nacional/240906/l-institut-ramon-cugat-demanar-instal-lacions-franc_157600.html,pensions,article,L’Institut Ramon Cugat va demanar instal·lacions de franc,Uns catalans espavilats
74,DI20240906055500,DI20240906055500-15950802,https://www.diariandorra.ad/nacional/240906/l-institut-ramon-cugat-demanar-instal-lacions-franc_157600.html,pensions,article,L’Institut Ramon Cugat va demanar instal·lacions de franc,No us adoneu encara que amb Andorra tothom s'hi atreveix ? 
75,DI20240912061000,DI20240912061000-16025962,https://www.diariandorra.ad/nacional/240912/policia-investiga-altres-pisos-on-hi-prostitucio_157951.html,pensions,article,La policia investiga altres pisos on hi ha prostitució,Señores que estamos en el siglo xxl
76,DI20240917053600,DI20240917053600-16072892,https://www.diariandorra.ad/nacional/240917/centre-salut-mental-mantindra-tot-i-rebuig_158252.html,pensions,article,El centre de salut mental es mantindrà tot i el rebuig,El Centre s ha de Fer !!! I el lloc a prop de l’hospital es ideal.
77,DI20240916055100,DI20240916055100-16062776,https://www.diariandorra.ad/nacional/240916/els-mestres-reclamen-millores-laborals-per-dignificar-professio_158189.html,pensions,article,Els mestres reclamen millores laborals per dignificar la professió,"Funcionaris, parafuncionaris i neofuncionaris, degut a les característiques del pais, no haurien de tenir dret a vot,. Ja veuries com s'acaba el cuento i la festa!."
78,DI20240927111800,DI20240927111800-17081318,https://www.diariandorra.ad/nacional/240927/accio-feminista-reclama-despenalitzacio-l-avortament-amb-cobertura-sanitaria_158906.html,pensions,article,Acció Feminista reclama la despenalització de l'avortament amb cobertura sanitària,Cap a la Seu pagant de la vostra butxaca. A tots ens agrada passar-ho be i no tenir responsabilitats
79,DI20240922060300,DI20240922060300-16354700,https://www.diariandorra.ad/nacional/240922/pensio-revalora-50-euros-per-qui-cotitzat-mes-20-anys_158574.html,pensions,article,La pensió es revalora 50 euros per a qui ha cotitzat més de 20 anys,No estic d'acord amb els càlculs de la taxa de dependència. 
80,DI20240926055300,DI20240926055300-17065552,https://www.diariandorra.ad/nacional/240926/les-ajudes-ocasionals-mengen-resta-subvencions-d-afers-socials_158812.html,pensions,article,Les ajudes ocasionals es mengen la resta de subvencions d’Afers Socials,Que mirin quin telèfon tenen els que van a demanar ajudes. Telefons de més de 500€. Per això alguns sí que tenen diners.
81,DI20240917053600,DI20240917053600-16072009,https://www.diariandorra.ad/nacional/240917/centre-salut-mental-mantindra-tot-i-rebuig_158252.html,pensions,article,El centre de salut mental es mantindrà tot i el rebuig,"Anar fent amic, cada dia creix mes al cercle d’amistats de DA"
